2023-12-04 21:53:44 INFO  GraphReader:54 - graphs/add20.graph. Nodes: 2395, Edges: 7462
2023-12-04 21:53:44 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 598 ] [ Color: 1, Count: 599 ] [ Color: 2, Count: 599 ] [ Color: 3, Count: 599 ] 
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 135, edge cut:1831, swaps: 270228, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 136, edge cut:1831, swaps: 272194, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 137, edge cut:1831, swaps: 274159, migrations: 1804
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 138, edge cut:1831, swaps: 276133, migrations: 1802
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 139, edge cut:1831, swaps: 278115, migrations: 1803
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 140, edge cut:1831, swaps: 280092, migrations: 1805
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 141, edge cut:1831, swaps: 282069, migrations: 1804
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 142, edge cut:1831, swaps: 284017, migrations: 1802
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 143, edge cut:1831, swaps: 286010, migrations: 1804
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 144, edge cut:1831, swaps: 288006, migrations: 1800
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 145, edge cut:1831, swaps: 289971, migrations: 1798
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 146, edge cut:1831, swaps: 291949, migrations: 1796
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 147, edge cut:1831, swaps: 293872, migrations: 1796
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 148, edge cut:1831, swaps: 295831, migrations: 1799
2023-12-04 21:53:49 INFO  Jabeja:253 - round: 149, edge cut:1831, swaps: 297825, migrations: 1793
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 150, edge cut:1832, swaps: 299822, migrations: 1797
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 151, edge cut:1831, swaps: 301805, migrations: 1793
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 152, edge cut:1831, swaps: 303827, migrations: 1792
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 153, edge cut:1831, swaps: 305826, migrations: 1796
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 154, edge cut:1831, swaps: 307807, migrations: 1795
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 155, edge cut:1830, swaps: 309762, migrations: 1794
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 156, edge cut:1830, swaps: 311721, migrations: 1795
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 157, edge cut:1830, swaps: 313672, migrations: 1793
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 158, edge cut:1830, swaps: 315632, migrations: 1789
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 159, edge cut:1830, swaps: 317579, migrations: 1793
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 160, edge cut:1830, swaps: 319583, migrations: 1788
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 161, edge cut:1829, swaps: 321515, migrations: 1787
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 162, edge cut:1829, swaps: 323471, migrations: 1789
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 163, edge cut:1830, swaps: 325457, migrations: 1789
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 164, edge cut:1830, swaps: 327450, migrations: 1786
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 165, edge cut:1829, swaps: 329415, migrations: 1784
